用户昵称,评价日期,订单id,商品id,商品名称,商品规格,商品评价得分,评价内容,评价等级,追评内容,追评时间,商家是否回复,回复内容,门店id,门店名称
🌈**d,2025年10月20日 23:00:29,6946732584911443133,3751359783949697316,小王家刺绣款牛仔女中高腰复古水洗牛仔长裤琥珀系穿搭89081,杏色-高个子(163-173cm)/29(115-125斤),5,,好评,,,否,,,
c**b,2025年10月20日 22:57:47,6946814077500134851,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-常规(163cm以内)/27(95-105斤),3,"感觉不像阔腿裤，有点小
h",中评,,,否,,,
T**v,2025年10月20日 22:48:44,6921606688372719399,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,灰杏色-高个子(163cm以上)/26(90-100斤),5,,好评,,,否,,,
不**x,2025年10月20日 22:38:41,6946664521200965218,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-常规(163cm以内)/28(105-115斤),3,品质确实太一般了,中评,,,否,,,
玉**v,2025年10月20日 22:28:53,6921757491386941380,3775285281557709193,小王家牛仔裤子女25年秋季款中高腰显瘦时尚阔腿裤通勤穿搭89138,复古蓝-常规(163cm以内)/26(85-95斤),5,"质量很好，
上身效果：很不错",好评,,,否,,,
故**0,2025年10月20日 22:24:48,6946932759201649766,3767692047738339600,小王家显瘦阔腿裤女25年新款复古水洗设计感宽松牛仔裤89235,复古蓝-常规(155-163cm)/M(100-115斤),5,挺好的，但是感觉裤子有一点味道。,好评,,,否,,,
潇**6,2025年10月20日 22:24:45,6947080031515186295,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/30(130-140斤),5,,好评,,,否,,,
林**j,2025年10月20日 22:24:15,6947101961778959470,3779528112254091329,小王家黑灰色牛仔裤女25年秋季新款中高腰宽松显瘦阔腿长裤68062,黑灰色-常规(155-163cm)/M(95-105斤),5,,好评,,,否,,,
人**6,2025年10月20日 22:19:54,6947109874085533581,3721666757119836639,小王家秋季新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,复古蓝-常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
剪**p,2025年10月20日 22:16:34,6946804599128397038,3767321355570249751,小王家腊肠狗显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝【小个子】(148-155cm)/S(85-100斤),0,,差评,与辉同行看到的买了二条很满意,2025-11-07 19:25:54,否,,,
天**0,2025年10月20日 22:16:01,6921799415660576363,3721666757119836639,【三重奏】小王家秋季新款裤子女中阔腿裤通勤穿搭琥珀系穿搭89138,复古蓝-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
s**6,2025年10月20日 22:15:22,6921660566042082382,3767321355570249751,【腊肠狗】小王家显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝【高个子】(163cm以上)/XL(125-135斤),5,,好评,,,否,,,
陈**p,2025年10月20日 21:58:56,6921718487782292577,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,丹宁色-常规(163cm以内)/27(100-110斤),4,尺码有点偏小，裤子没有弹性,好评,,,否,,,
音**8,2025年10月20日 21:57:54,6921611563399871539,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,灰杏色-高个子(163cm以上)/28(110-120斤),5,,好评,,,否,,,
念**t,2025年10月20日 21:56:54,6921760867720986507,3769753427878478030,【墨尔本冬】小王家弯刀裤女25年秋季新款中高腰宽松显瘦设计感牛仔裤86011,原牛黑-常规(163cm以内)/27(100-110斤),4,,好评,,,否,,,
神**j,2025年10月20日 21:56:25,6946667354740299041,3769753427878478030,【艾读分享】小王家弯刀裤女25年秋季新款中高腰宽松显瘦设计感牛仔裤86011,灰杏色-高个子(163cm以上)/25(90斤以内),5,,好评,,,否,,,
彩**0,2025年10月20日 21:51:47,6946783589565666384,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,灰杏色-高个子(163cm以上)/28(110-120斤),2,"上身效果：裤型可以，但是衣服面料不行，坐一会儿站起来膝盖顶包又容易皱。
面料质感：面料一般，偏薄",差评,,,否,,,
向**r,2025年10月20日 21:51:29,6921609956548050398,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-高个子(163cm以上)/29(115-125斤),5,不错,好评,,,否,,,
椰**p,2025年10月20日 21:47:00,6921625915371453960,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,黑色-常规(163cm以内)/29(115-125斤),5,,好评,,,否,,,
戴**j,2025年10月20日 21:41:09,6946793330938484642,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/29(120-130斤),4,,好评,,,否,,,
@**0,2025年10月20日 21:38:12,6947020957715863259,3780124786047451232,【小王家】米杏色 复古蓝阔腿弯刀牛仔裤女2025秋季宽松显瘦651039,米杏色-常规(163cm以内)/S(85-100斤),5,挺好挺厚实！问题已处理，还好颜色在腰部位还能穿！口袋缝上了！就我这一五几的小个裤腿再窄一点点就好了，,好评,,,否,,,
景**8,2025年10月20日 21:37:23,6946599543754659588,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/28(115-125斤),5,,好评,,,否,,,
景**8,2025年10月20日 21:37:00,6946645768114804484,3751359783949697316,【小王家】丹宁色 复古蓝 杏色阔腿牛仔裤89081,复古蓝-小个子(153-163cm)/29(115-125斤),5,,好评,,,否,,,
赵**0,2025年10月20日 21:29:51,6946832566500987977,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/29(120-130斤),5,,好评,,,否,,,
✨**4,2025年10月20日 21:26:24,6946989034836334147,3780282289100030380,【小王家】丹宁色 复古蓝 杏色显瘦牛仔裤女新款阔腿裤通勤穿搭89138,丹宁色-常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
小**f,2025年10月20日 21:24:11,6946812711244273226,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,复古深蓝-常规(163cm以内)/28(110-120斤),1,裤子掉色严重，穿一天给粉色秋裤染色成这样了，,差评,掉色，还鼓包，穿半天就鼓包，没见过鼓包这么严重的，掉色还在继续，不知道掉色到什么时候,2025-11-07 19:16:52,否,,,
平**8,2025年10月20日 21:19:08,6947146270875522576,3736305610027827505,小王家小众女装牛仔裤秋季款复古设计感直筒裤子琥珀系穿搭89106,高级蓝-常规(155-163cm)/27(95-105斤),5,,好评,,,否,,,
A**l,2025年10月20日 21:18:36,6921652044676235179,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,复古深蓝-高个子(163cm以上)/27(100-110斤),5,,好评,,,否,,,
萍**b,2025年10月20日 21:17:30,6947135735920530478,3771745006495334540,小王家丹宁色牛仔裤25年秋季款宽松显瘦刺绣款阔腿裤百搭68051,丹宁色-高个子(163cm以上)/L(115-125斤),5,,好评,,,否,,,
二**b,2025年10月20日 21:13:55,6921639750572211467,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,杏色-高个子(163cm以上)/28(105-115斤),0,,差评,"与辉同行直播间可以买，就别去这家店铺买其它裤子了，
垃圾的狠，客服还推卸责任，千方百计证明是人的问题",2025-11-10 21:55:11,否,,,
王**r,2025年10月20日 21:11:17,6947146051379664470,3721666757119836639,小王家秋季新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,复古蓝-厚绒常规(163cm以内)/26(85-95斤),3,颜色不一样 有色差 版型不垂 有味道 不厚,中评,,,否,,,
芸**4,2025年10月20日 21:10:07,6946599271711578000,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-高个子(163cm以上)/28(115-125斤),5,,好评,,,否,,,
🌈**f,2025年10月20日 21:05:55,6921606326262529290,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/26(90-100斤),0,,差评,与辉同行买的，质量版型面料，很好,2026-01-26 11:28:50,否,,,
傲**6,2025年10月20日 21:05:42,6947108413069136982,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,复古深蓝-高个子(163cm以上)/29(120-130斤),5,与辉同行买的，质量真的是肉眼可见的，裤子乍一看平平无奇，但是仔细一看细节纽扣，屁股后兜，侧边分叉线完美呀，上身试穿，这版型真的真的真的很显瘦绝了。胯宽屁股的的姐妹闭眼入,好评,,,否,,,
蕾**4,2025年10月20日 21:05:18,6947016529969288562,3780476084517208259,【小王家】刺绣花边牛仔裤女25年秋季新款中高腰黑色显瘦阔腿裤89302,原牛黑-常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
👧**t,2025年10月20日 21:04:21,6947012903962875435,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,复古深蓝-高个子(163cm以上)/26(90-100斤),5,,好评,,,否,,,
S**2,2025年10月20日 21:03:12,6946991171846477004,3780282289100030380,【小王家】丹宁色 复古蓝 杏色显瘦牛仔裤女新款阔腿裤通勤穿搭89138,杏色-高个子(163cm以上)/26(85-95斤),5,很合适，料子也很舒服,好评,,,否,,,
平**8,2025年10月20日 21:02:06,6921744108810632986,3775287321398739073,小王家刺绣款牛仔裤女25年新款中高腰复古水洗牛仔阔腿长裤521011,复古蓝 -常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
吴**t,2025年10月20日 20:58:36,6947108550620746965,3767321355570249751,小王家腊肠狗显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝【小个子】(148-155cm)/S(85-100斤),5,,好评,,,否,,,
娜**h,2025年10月20日 20:55:03,6921735473155112577,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,丹宁色-常规(163cm以内)/27(100-110斤),5,,好评,,,否,,,
张**r,2025年10月20日 20:54:39,6946889645191205952,3779761874447499600,小王家牛仔裤女25年新款中高腰复古水洗休闲牛仔阔腿长裤521011,黑灰色-常规(163cm以内)/28(105-115斤),5,版型不错,好评,,,否,,,
冬**4,2025年10月20日 20:52:01,6921605704280669845,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,复古蓝-常规(163cm以内)/30(125-135斤),5,裤子质量很好。穿上很好。,好评,,,否,,,
小**z,2025年10月20日 20:48:36,6921629914496072874,3767321355570249751,小王家腊肠狗显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝【常规】(155-163cm)/M(100-115斤),5,,好评,,,否,,,
B**j,2025年10月20日 20:48:24,6946817255143838736,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/27(100-110斤),5,,好评,,,否,,,
刘**r,2025年10月20日 20:44:39,6946986884563342770,3699591836483060167,小王家高腰显瘦时尚百搭阔腿裤女新款牛仔阔腿琥珀系穿搭89082,丹宁色-高个子(163CM以上)/28(105-115斤),5,刚刚好，可能自己胖了，想着能有富裕，结果腰围刚刚好，腿肥一些,好评,,,否,,,
舍**4,2025年10月20日 20:40:10,6921625014067756840,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-常规(163cm以内)/30(125-135斤),5,我是宝妈，感觉有那么一丢丢偏小呢,好评,,,否,,,
咖**2,2025年10月20日 20:37:16,6947104365104338703,3767321355570249751,【腊肠狗】小王家显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝【常规】(155-163cm)/M(100-115斤),5,,好评,,,否,,,
果**2,2025年10月20日 20:33:25,6946928678217651983,3770654239387418916,【高宥惠专属】小王家小个子牛仔裤子女25年秋季新款中高腰杏色牛仔阔腿裤68056,杏色-小个子(148-155cm)/L(105-115斤),5,"上身效果：很好，矮个子刚刚好，不显矮
面料质感：摸着跟舒服，不是廉价货的那种
版型设计：对矮个子很友好，很多高个子的裤子版型我们都穿不了，这个是特意为矮个子做的
搭配建议：可以配浅蓝色上衣，感觉好看",好评,,,否,,,
梦**z,2025年10月20日 20:32:51,6947111119560578405,3721666757119836639,《三重奏》小王家秋季新款裤子女中阔腿裤通勤穿搭琥珀系穿搭89138,原生色-厚绒常规(163cm以内)/30(125-135斤),4,,好评,,,否,,,
风**x,2025年10月20日 20:32:30,6921786625058241569,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
用**0,2025年10月20日 20:21:18,6921799249993105004,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,复古深蓝-高个子(163cm以上)/29(120-130斤),5,,好评,,,否,,,
发**r,2025年10月20日 20:21:12,6921659726219280318,3774959787343741100,【绿子粉丝】小王家米杏色阔腿弯刀牛仔裤女2025秋季宽松显瘦垂感拖地裤68066,复古蓝-常规(163cm以内)/S(85-100斤),5,裤型尺码长短都合适,好评,,,否,,,
毛**z,2025年10月20日 20:17:17,6921598601430465556,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,灰杏色-高个子(163cm以上)/28(110-120斤),5,,好评,,,否,,,
王**p,2025年10月20日 20:15:28,6921632014136671575,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-高个子(163cm以上)/30(125-135斤),5,,好评,,,否,,,
A**6,2025年10月20日 20:12:55,6947123637455230796,3774184919450911037,小王家不贴腿微喇牛仔裤女25年新款显瘦蓝灰色水洗牛仔裤73002,蓝灰-常规(163cm以内)/M(95-105斤),5,,好评,,,否,,,
ෆ**2,2025年10月20日 20:11:33,6946793174820132789,3769753427878478030,【墨尔本冬】小王家弯刀裤女25年秋季新款中高腰宽松显瘦设计感牛仔裤86011,原牛黑-高个子(163cm以上)/29(120-130斤),5,,好评,,,否,,,
喜**b,2025年10月20日 20:07:31,6921620286048664680,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-高个子(163cm以上)/26(90-100斤),5,,好评,,,否,,,
飒**p,2025年10月20日 20:06:33,6947031257784260347,3775151843206890315,【秋日氛围】小王家一裤两穿牛仔裤女25年新款复古宽松显瘦水洗阔腿长裤89316,丹宁色-高个子(163cm以上)/27(100-110斤),5,非常好看 版型很好 就是有点长 喜欢拖地的感觉,好评,,,否,,,
妮**f,2025年10月20日 19:53:26,6921636590828355518,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/26(90-100斤),5,,好评,,,否,,,
超**0,2025年10月20日 19:53:23,6947152720396883208,3775151843206890315,【秋日氛围】小王家一裤两穿牛仔裤女25年新款复古宽松显瘦水洗阔腿长裤89316,复古蓝-常规(163cm以内)/30(130-140斤),5,质量好版型好,好评,,,否,,,
悠**t,2025年10月20日 19:52:36,6946852779692070529,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,复古蓝-常规(163cm以内)/29(115-125斤),5,宝贝非常棒，是自己想要的那种风格，到货也很快，谢谢老板，服务五颗星,好评,,,否,,,
悠**t,2025年10月20日 19:52:01,6946993707472590465,3769169428458111376,【小王家】秋季新款刺绣款显瘦牛仔阔腿裤89081,原牛黑-高个子(163cm以上)/29(115-125斤),5,五星好评，非常好！想不到那么快就到了！,好评,,,否,,,
凉**8,2025年10月20日 19:44:58,6946832598981743768,3751359783949697316,小王家刺绣款牛仔女中高腰复古水洗牛仔长裤琥珀系穿搭89081,杏色-高个子(163-173cm)/28(105-115斤),3,还行吧，没有吹捧得那么好，易皱，版型一般，随便穿穿吧,中评,,,否,,,
许**x,2025年10月20日 19:41:36,6947052110277711326,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,丹宁色-常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
贝**6,2025年10月20日 19:40:41,6921622234877558511,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
何**8,2025年10月20日 19:36:21,6947100204292379827,3721666757119836639,《三重奏》小王家秋季新款裤子女中阔腿裤通勤穿搭琥珀系穿搭89138,原生色-厚绒高个子(163cm以上)/30(125-135斤),4,,好评,,,否,,,
用**4,2025年10月20日 19:34:12,6947107699792549118,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,丹宁色-高个子(163cm以上)/28(110-120斤),5,,好评,,,否,,,
毛**h,2025年10月20日 19:26:41,6946810695843648801,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
如**6,2025年10月20日 19:26:23,6947074022108698048,3735399801307660303,【小王家】杏色牛仔阔腿裤显瘦百搭垂感牛仔长裤89181,杏色-高个子(163cm以上)/28(105-115斤),5,,好评,,,否,,,
M**v,2025年10月20日 19:24:54,6947027911399905132,3780124786047451232,【小王家】米杏色 复古蓝阔腿弯刀牛仔裤女2025秋季宽松显瘦651039,米杏色-常规(163cm以内)/S(85-100斤),5,尺码感觉稍偏大，不过款式很好,好评,,,否,,,
p**n,2025年10月20日 19:21:23,6946778525404174079,3767321355570249751,小王家腊肠狗显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝【小个子】(148-155cm)/S(85-100斤),5,,好评,,,否,,,
时**x,2025年10月20日 19:20:59,6946991692847650041,3774959787343741100,小王家米杏色阔腿弯刀牛仔裤女2025秋季宽松显瘦垂感拖地裤68066,复古蓝-常规(163cm以内)/L(115-125斤),5,,好评,,,否,,,
凡**b,2025年10月20日 19:19:57,6921754808517754730,3780477538288140558,【小王家】丹宁色 杏色牛仔裤女秋季窄版复古水洗通勤穿搭琥珀系穿搭89082,丹宁色-小个子(163CM以内)/27(95-105斤),4,,好评,,,否,,,
记**p,2025年10月20日 19:19:16,6946779327964976165,3769144532663402701,小王家黑灰色牛仔裤女25年新款中高腰宽松显瘦弯刀阔腿裤89301,黑灰色-高个子(163cm以上)/29(120-130斤),5,质量特别好，大小也合适,好评,,,否,,,
R**z,2025年10月20日 19:11:44,6921827415387503956,3767692047738339600,小王家显瘦阔腿裤女25年新款复古水洗设计感宽松牛仔裤89235,复古蓝-常规(155-163cm)/XL(小个子没有XL/125-135斤),5,,好评,,,否,,,
墨**b,2025年10月20日 19:05:40,6946814486360364291,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-高个子(163cm以上)/30(125-135斤),5,终于等到你，没让我失望，喜欢阔腿裤的姐妹放心冲,好评,,,否,,,
水**p,2025年10月20日 19:02:20,6946603910301030374,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/28(115-125斤),5,,好评,,,否,,,
琉**2,2025年10月20日 19:00:50,6947116921083140063,3751359783949697316,小王家刺绣款牛仔女中高腰复古水洗牛仔长裤琥珀系穿搭89081,丹宁色-小个子(153-163cm)/30(125-135斤),5,,好评,,,否,,,
小**n,2025年10月20日 19:00:22,6946998765909448142,3775287321398739073,小王家刺绣款牛仔裤女25年新款中高腰复古水洗牛仔阔腿长裤521011,复古蓝 -常规(163cm以内)/29(115-125斤),5,,好评,,,否,,,
媛**x,2025年10月20日 18:59:22,6921604933978390250,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-高个子(163cm以上)/29(120-130斤),5,品质好！和商场大几百的一样！,好评,,,否,,,
小**x,2025年10月20日 18:59:06,6947003171502757420,3780124786047451232,【小王家】米杏色 复古蓝阔腿弯刀牛仔裤女2025秋季宽松显瘦651039,米杏色-常规(163cm以内)/M(100-115斤),5,大小正好，版型好看，小个子买到合适的。,好评,,,否,,,
S**n,2025年10月20日 18:58:06,6947046634757494233,3779241592620188735,【巴黎步调】小王家四面弹蜡笔裤女显瘦弹力时尚修身牛仔裤通勤九分裤81091,黑色/31(135-145斤),5,,好评,,,否,,,
L**r,2025年10月20日 18:57:33,6921607322056687545,3769914169294454793,小王家宽松弯刀裤女秋季新款中高腰宽松显瘦设计感牛仔裤86011,灰杏色-高个子(163cm以上)/28(110-120斤),5,,好评,,,否,,,
L**z,2025年10月20日 18:56:03,6946864441393616365,3756545185811661339,【雪澜专属】小王家弯刀裤女25年秋季新款中高腰宽松显瘦设计感牛仔裤86011,复古深蓝-常规(163cm以内)/28(110-120斤),5,很喜欢，连买两条！,好评,,,否,,,
真**v,2025年10月20日 18:54:06,6921502154880613867,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-常规(163cm以内)/27(95-105斤),0,,差评,今天是第一次穿，就早上这一会，膝盖起包挺大的，这点有些意外,2025-11-10 07:40:09,否,,,
m**v,2025年10月20日 18:52:00,6947168963692140015,3721666757119836639,小王家秋季新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,复古蓝-常规(163cm以内)/29(115-125斤),5,,好评,,,否,,,
萧**z,2025年10月20日 18:51:26,6921639534524268483,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/25(90斤以内),5,,好评,,,否,,,
🌻**x,2025年10月20日 18:44:26,6946626847999333986,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,黑色-高个子(163cm以上)/29(115-125斤),5,,好评,,,否,,,
🌻**x,2025年10月20日 18:44:20,6946570866793846370,3699591836483060167,【小王家】高腰宽松显瘦时尚百搭阔腿裤女2025新款牛仔阔腿长裤89082,丹宁色-高个子(163CM以上)/29(115-125斤),5,,好评,,,否,,,
W**0,2025年10月20日 18:40:38,6947084688632715006,3721666757119836639,【绿子粉丝专属】小王家三本针牛仔阔腿裤女猫须水洗牛仔裤89138,复古蓝-厚绒高个子(163cm以上)/30(125-135斤),5,,好评,,,否,,,
曼**h,2025年10月20日 18:40:26,6947153533000750164,3730563509302460572,小王家女装2025显瘦复古百搭牛仔阔腿长裤穿搭琥珀系穿搭89227,怀旧蓝-常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
唯**6,2025年10月20日 18:39:59,6947053459290199427,3775285281557709193,小王家牛仔裤子女25年秋季款中高腰显瘦时尚阔腿裤通勤穿搭89138,复古蓝-常规(163cm以内)/29(115-125斤),5,这款商品的质量超乎我想象的好，卖家服务态度也超棒，发货速度更是神速！特别合适，摸着特别舒服，好爱好爱，是回购了,好评,,,否,,,
婷**0,2025年10月20日 18:38:27,6947078201726932016,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,复古深蓝-高个子(163cm以上)/26(90-100斤),5,,好评,,,否,,,
谢**0,2025年10月20日 18:34:38,6921823433237954515,3780477538288140558,小王家牛仔裤女秋季窄版百搭复古水洗通勤穿搭琥珀系穿搭89082,丹宁色-小个子(163CM以内)/30(125-135斤),5,,好评,,,否,,,
