用户昵称,评价日期,订单id,商品id,商品名称,商品规格,商品评价得分,评价内容,评价等级,追评内容,追评时间,商家是否回复,回复内容,门店id,门店名称
晴**8,2025年11月29日 19:56:16,6948426678597457332,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/27(95-105斤),5,,好评,,,否,,,
小**8,2025年11月29日 19:52:28,6922570168219237805,3784556183046718130,【胖和小催】小王家不贴腿微喇裤女25年冬季新款中腰显瘦复古牛仔裤63052,复古蓝-高个子(163cm以上)/XL(120-130斤),5,版型很好   面料比较硬挺  很喜欢,好评,,,否,,,
用**2,2025年11月29日 19:51:48,6948315566958449755,3787900768644890675,小王家复古刺绣款牛仔裤女25年新款中高腰水洗牛仔阔腿长裤521011,复古蓝-高个子厚绒(160cm以上)/28(110-120斤),5,,好评,,,否,,,
秋**v,2025年11月29日 19:46:08,6922482977392983182,3784014239736398318,【小王家】翻边牛仔裤复古蓝 丹宁色新款复古宽松显瘦阔腿长裤89316,复古蓝-常规(163cm以内)/27(100-110斤),5,,好评,,,否,,,
歪**b,2025年11月29日 19:45:21,6948188546495944464,3751359783949697316,小王家刺绣款牛仔女中高腰复古水洗牛仔长裤琥珀系穿搭89081,丹宁色-厚绒高个子(163-173cm)/30(125-135斤),3,还可以就是版型有点小问题，不过已经穿了就懒得退了。,中评,,,否,,,
遇**x,2025年11月29日 19:43:57,6922450209197031195,3782895841174487390,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,杏色-厚绒常规(163cm以内)/28(105-115斤),5,,好评,,,否,,,
想**b,2025年11月29日 19:40:58,6922516027259124888,3782895841174487390,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/29(115-125),5,,好评,,,否,,,
芽**4,2025年11月29日 19:40:27,6948383217739830444,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-厚绒常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
甘**l,2025年11月29日 19:38:34,6948187737014735985,3784167707549761770,小王家加绒冬季新款裤子女中高腰阔腿裤通勤穿搭琥珀系穿搭89138,丹宁色-高个子(163cm以上)/27(95-105斤),5,,好评,,,否,,,
A**2,2025年11月29日 19:36:18,6922644015702506591,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/30(125-135),5,,好评,,,否,,,
胖**j,2025年11月29日 19:33:58,6948374527634642735,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年新款牛仔裤86011,复古深蓝-常规(163cm以内)/26(90-100斤),5,裤型很好看，腰也合适，推荐,好评,,,否,,,
天**t,2025年11月29日 19:33:28,6922646415411805953,3784940593449402374,【皓然专属】小王家牛仔裤女25年冬季新款中高腰时尚显瘦阔腿裤通勤穿搭89138,丹宁色-常规(163cm以内)/28(105-115斤),5,无,好评,,,否,,,
白**0,2025年11月29日 19:32:00,6922600538760642468,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/28(105-115斤),5,,好评,,,否,,,
回**2,2025年11月29日 19:31:48,6922609886292311296,3785698165483766211,小王家秋冬加绒牛仔裤女新款中高腰宽松显瘦阔腿牛仔裤通勤89321,丹宁色-厚绒常规(163cm以内)/29(120-130斤),5,,好评,,,否,,,
悦**z,2025年11月29日 19:28:04,6948401909250266980,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/26(85-95斤),5,,好评,,,否,,,
小**2,2025年11月29日 19:25:45,6948377479321031743,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,杏色-厚绒高个子(163cm以上)/27(95-105斤),5,,好评,,,否,,,
😘**h,2025年11月29日 19:24:06,6948359124375967591,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/29(115-125斤),4,版型很好，拿到手很有分量，没有弹性，码数有点偏小我123斤左右，扣上紧紧的,好评,,,否,,,
每**0,2025年11月29日 19:20:28,6948455489310168215,3784599083361108377,【九九定制】小王家百搭秋冬新款直筒阔腿裤女2025年爆款休闲琥珀系穿搭68075,复古蓝-小个子(148-155cm)/M(95-105斤),4,,好评,,,否,,,
豌**f,2025年11月29日 19:18:13,6948388901645063913,3782895841174487390,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/27(95-105斤),5,很合适很舒服，很厚实,好评,,,否,,,
🌈**n,2025年11月29日 19:11:12,6948416201254638932,3782152974881652820,【腊肠狗】小王家秋冬新款加绒牛仔裤女黑灰色宽松显瘦阔腿裤长裤79002,黑灰色-植绒小个子(148-155cm)/L(115-125斤),4,不错哦😯裤子很好看，版型很好，尺寸正合适，小个子穿正合适，很喜欢,好评,,,否,,,
S**8,2025年11月29日 19:10:28,6948212230648763897,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年新款牛仔裤86011,丹宁色-高个子(163cm以上)/27(100-110斤),5,,好评,,,否,,,
跑**2,2025年11月29日 19:09:17,6922465871177678298,3782895841174487390,【小王家】冬季厚绒牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/25(85斤以内),5,宇辉家买的，购物以来最喜欢的一条裤子！,好评,,,否,,,
成**l,2025年11月29日 19:04:31,6922481118393433624,3782895841174487390,【小王家】冬季厚绒牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,怀旧蓝-厚绒高个子(163cm以上)/30(125-135),5,,好评,,,否,,,
田**j,2025年11月29日 19:00:50,6922505953872870535,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/27(95-105斤),4,,好评,,,否,,,
一**2,2025年11月29日 18:59:24,6922425111298276539,3786441564235104469,小王家冬季新款牛仔裤女25年中高腰宽松显瘦加绒阔腿牛仔裤89321,复古蓝-植绒常规(160cm以内)/29(120-130斤),5,,好评,,,否,,,
馨**4,2025年11月29日 18:59:20,6922628111542746919,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/28(105-115斤),5,满意,好评,,,否,,,
李**2,2025年11月29日 18:58:53,6948419856532313476,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/30(125-135),5,,好评,,,否,,,
鼠**v,2025年11月29日 18:57:56,6922641125876137003,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,杏色-厚绒常规(163cm以内)/28(105-115斤),5,非常好👍，绒很细，上身效果和大几百的没差，可以闭眼冲,好评,,,否,,,
我**t,2025年11月29日 18:50:21,6922628792484002982,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/30(125-135),5,,好评,,,否,,,
打**6,2025年11月29日 18:49:17,6922626684909943953,3782152974881652820,【腊肠狗】小王家秋冬新款加绒牛仔裤女黑灰色宽松显瘦阔腿裤长裤79002,黑灰色-植绒常规(155-163cm)/M(100-115斤),5,,好评,,,否,,,
泡**d,2025年11月29日 18:48:59,6948192682072807008,3787016192129106344,小王家25年冬季加绒新款牛仔裤复古宽松显瘦水洗阔腿长裤89316,丹宁色-厚绒常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
丹**6,2025年11月29日 18:46:21,6948406337672385935,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,杏色-厚绒高个子(163cm以上)/28(105-115斤),5,,好评,,,否,,,
雪**4,2025年11月29日 18:43:46,6948387861350520229,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年新款牛仔裤86011,复古深蓝-常规(163cm以内)/28(110-120斤),5,完美，显瘦,好评,,,否,,,
赏**6,2025年11月29日 18:39:49,6948007365792306305,3782895841174487390,【小王家】冬季厚绒牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/30(125-135),5,140斤，162。买的这条裤子的尺码正正好。颜色也特别漂亮。,好评,,,否,,,
眠**0,2025年11月29日 18:35:29,6922600996232199564,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/26(85-95斤),5,,好评,,,否,,,
又**6,2025年11月29日 18:32:18,6948434532340012119,3784421091351593679,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
太**t,2025年11月29日 18:27:14,6948409624482355057,3772520898897248477,【李时髦专属】小王家刺绣款牛仔裤女25年新款中高腰复古水洗牛仔阔腿长裤89296,复古蓝-植绒常规(155-163cm)/28(105-115斤),5,,好评,,,否,,,
甜**t,2025年11月29日 18:24:59,6948402337715852952,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/30(125-135),5,,好评,,,否,,,
巧**p,2025年11月29日 18:20:50,6948267192575595921,3771745006495334540,小王家丹宁色牛仔裤25年冬季款宽松显瘦刺绣款阔腿裤百搭68051,丹宁色-植绒常规(163cm以内)/S(90-100斤),5,,好评,,,否,,,
冄**6,2025年11月29日 18:11:04,6948017027342735257,3784030444648005657,小王家刺绣款牛仔裤女25年秋冬新款加绒牛仔喇叭长裤73001,复古蓝-植绒常规(163cm以内)/S(85-95斤),3,裤子版型可以，绒较薄，不在意厚度可以买。,中评,,,否,,,
c**8,2025年11月29日 18:06:25,6922601617771495162,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-厚绒常规(163cm以内)/28(105-115斤),4,,好评,,,否,,,
逝**0,2025年11月29日 18:03:28,6948283379987650241,3784421091351593679,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/29(115-125斤),5,面料很厚实，冬天一条就够了,好评,,,否,,,
冰**h,2025年11月29日 18:01:54,6922610197700181508,3784421091351593679,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,怀旧蓝-常规(163cm以内)/26(85-95斤),5,正码正拍,好评,这条裤子褪色,2025-12-13 15:20:09,否,,,
没**d,2025年11月29日 18:01:52,6948424906531804405,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,杏色-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
